,test_loss,test_accuracy,test_roc_auc,test_runtime,test_samples_per_second,test_steps_per_second,count
snarks,0.6931416392326355,0.5277777777777778,0.4521604938271605,0.495,72.721,10.1,36
social_support,0.7006863355636597,0.776536312849162,0.4935270885736874,4.0161,44.57,5.727,179
sports_understanding,0.693135678768158,0.5532994923857868,0.5733954451345755,2.8091,70.13,8.9,197
strategyqa,0.692091166973114,0.5073170731707317,0.55997715156131,2.996,68.424,8.678,205
suicide_risk,1.3863404989242554,0.125,0.0,0.2231,35.863,4.483,8
swahili_english_proverbs,1.386435627937317,0.16129032258064516,0.0,0.8487,36.525,4.713,31
swedish_to_german_proverbs,1.3857427835464478,0.21428571428571427,0.6311842918985776,0.3687,37.975,5.425,14
symbol_interpretation,1.6019361019134521,0.2676767676767677,0.5963845409111639,7.0179,28.213,3.562,198
temporal_sequences,0.028500856831669807,0.985,0.0,5.5673,35.924,4.491,200
timedial,0.7843716740608215,0.6926829268292682,0.0,4.5047,45.508,5.772,205
understanding_fables,1.608869194984436,0.39473684210526316,0.6332305436794602,1.2895,29.469,3.878,38
unit_interpretation,1.6094697713851929,0.25,0.49065384048356186,0.7039,28.415,4.262,20
vitaminc_fact_verification,0.9429915547370911,0.551219512195122,0.6308654418095507,4.2945,47.735,6.054,205
what_is_the_tao,0.6930922865867615,0.7142857142857143,0.5,0.1289,54.312,7.759,7
which_wiki_edit,1.3863111734390259,0.19298245614035087,0.0,3.1825,35.821,4.713,114
winowhy,0.608306884765625,0.5365853658536586,0.7748426473393095,2.8606,71.663,9.089,205
