,task,bs,mcb,dsc,unc,roc_auc,lm_roc_auc,task_accuracy,accuracy,count,acc_improvement
38,formal_fallacies_syllogisms_negation,0.25112608671115566,0.01596944905322978,0.014123552704953357,0.24928019036287924,0.554410080183276,0.46859488354333717,0.47317073170731705,0.5024390243902439,205.0,-0.024390243902439046
39,general_knowledge,0.30745657615481703,0.11698038567862654,0.039115646258503306,0.2295918367346938,0.6000000000000001,0.8,0.35714285714285715,0.5714285714285714,14.0,-0.0714285714285714
40,geometric_shapes,0.04989396483256758,0.01690785372145647,0.13985339506172842,0.17283950617283952,0.9832589285714286,0.734375,0.2222222222222222,0.9444444444444444,72.0,0.16666666666666663
41,goal_step_wikihow,0.22223081295314004,0.013369885949561261,0.02442878150326233,0.2332897085068411,0.6402488780089759,0.5801713586291309,0.37073170731707317,0.6146341463414634,205.0,-0.014634146341463428
42,gre_reading_comprehension,0.2503246991188237,0.050324699118823674,0.0222222222222222,0.22222222222222224,0.25,0.125,0.3333333333333333,0.6666666666666666,6.0,-1.1102230246251565e-16
43,hhh_alignment,0.31424333865334825,0.08251428339488115,0.005357721601037035,0.23708677685950413,0.45315904139433555,0.485838779956427,0.38636363636363635,0.4318181818181818,44.0,-0.18181818181818182
44,hindu_knowledge,0.24388633116812314,0.03637932836700239,0.03739095638255266,0.2448979591836734,0.6,0.45999999999999996,0.42857142857142855,0.6,35.0,0.02857142857142858
45,hinglish_toxicity,0.2506421191509358,0.02008656359538019,0.013819444444444329,0.24437499999999995,0.44757033248081846,0.5447570332480818,0.575,0.575,40.0,0.0
46,human_organs_senses,0.22448741197419736,0.13073741197419736,0.140625,0.234375,0.8,0.6000000000000001,0.625,0.5,8.0,-0.125
47,hyperbaton,0.04259143641553411,0.0020975645627770365,0.20945258858745713,0.2499464604402142,0.958015993907083,0.6415651180502665,0.5073170731707317,0.9560975609756097,205.0,0.448780487804878
48,identify_math_theorems,0.27333129660493305,0.09151311478675098,0.06611570247933854,0.2479338842975206,0.6000000000000001,0.8,0.45454545454545453,0.5454545454545454,11.0,0.0
49,identify_odd_metaphor,0.1257233933934043,0.03313080080081168,0.006172839506172811,0.09876543209876543,0.375,0.375,0.1111111111111111,0.8888888888888888,9.0,0.0
50,implicatures,0.19040956229703504,0.02691531821756918,0.08640163263856832,0.24989587671803418,0.8020833333333334,0.6891666666666667,0.4897959183673469,0.7448979591836735,98.0,0.23469387755102045
51,implicit_relations,0.2132246088833527,0.08997530916346466,0.022079420003295352,0.1453287197231834,0.6428571428571429,0.5952380952380952,0.17647058823529413,0.5294117647058824,17.0,-0.2941176470588235
52,intent_recognition,0.15010684666457902,0.02935055474985776,0.1281956256878873,0.24895191760260857,0.8542619542619543,0.7839916839916838,0.4676258992805755,0.8273381294964028,139.0,0.29496402877697836
53,international_phonetic_alphabet_nli,0.23405531753930806,0.03605531885061011,0.03240000131130208,0.23040000000000002,0.5138888888888888,0.4861111111111111,0.36,0.64,25.0,0.0
54,intersect_geometry,0.10781202962346481,0.026916020193299778,0.037519984418354815,0.11841599384851985,0.843547077922078,0.7696834415584416,0.13725490196078433,0.8823529411764706,204.0,0.019607843137254832
55,irony_identification,0.21009237070384357,0.04039540100687372,0.07780303030303015,0.2475,0.7070707070707071,0.5454545454545454,0.45,0.6,20.0,0.04999999999999993
56,kanji_ascii,0.13544614240826797,0.04416324767142586,0.022983033240997208,0.11426592797783931,0.48484848484848486,0.5575757575757576,0.13157894736842105,0.868421052631579,38.0,0.0
57,kannada,0.17002125401202142,0.03732841079286242,0.02150216811870953,0.15419501133786853,0.4673202614379085,0.41666666666666674,0.19047619047619047,0.8095238095238095,63.0,0.0
58,key_value_maps,0.24815347902697554,0.028153477536859095,0.027499998509883522,0.24749999999999997,0.5151515151515151,0.4747474747474748,0.55,0.55,20.0,0.0
59,known_unknowns,0.3614350873405436,0.1577313836368396,0.01851851851851824,0.2222222222222222,0.5,0.7222222222222223,0.6666666666666666,0.3333333333333333,9.0,-0.3333333333333333
60,language_identification,0.11901731906694737,0.008473370608594877,0.010907568495841388,0.12145151695419389,0.5987460815047022,0.5227272727272727,0.14146341463414633,0.8585365853658536,205.0,0.0
61,logic_grid_puzzle,0.20820347822920532,0.020364491695913922,0.015936013466708587,0.20377499999999998,0.5917065390749602,0.4996932891669733,0.285,0.675,200.0,-0.040000000000000036
62,logical_args,0.3076153709560055,0.10761537095600501,0.022222222222221755,0.22222222222222224,0.375,0.5,0.6666666666666666,0.3333333333333333,6.0,-0.3333333333333333
63,logical_deduction,0.1687982930535949,0.014364314432852743,0.010991885602498142,0.1654258642232403,0.6124311565696302,0.5697875688434304,0.20918367346938777,0.7857142857142857,196.0,-0.005102040816326592
64,logical_fallacy_detection,0.20964982894598955,0.020314848500483512,0.05894580480137082,0.24828078524687686,0.7135326816177879,0.49846655165804105,0.5414634146341464,0.6439024390243903,205.0,0.10243902439024388
65,logical_sequence,0.307667702708632,0.07329270270863197,0.0,0.234375,0.2666666666666666,0.9333333333333333,0.375,0.5,8.0,-0.125
66,mathematical_induction,0.18807328708224036,0.08688281089176415,0.14370748299319724,0.24489795918367346,0.875,0.4375,0.5714285714285714,0.7857142857142857,14.0,0.2142857142857143
67,metaphor_boolean,0.18168258416782423,0.0334566270197271,0.09636746845743915,0.2445934256055363,0.8331122900088417,0.5225464190981433,0.4264705882352941,0.7426470588235294,136.0,0.1691176470588236
68,metaphor_understanding,0.22241386327444473,0.039367595121793414,0.06140823614793711,0.24445450430058843,0.6574074074074073,0.612962962962963,0.425531914893617,0.6382978723404256,47.0,0.06382978723404253
69,minute_mysteries_qa,0.17855202653954277,0.010530346322740608,0.0033049110978914664,0.17132659131469363,0.4097222222222222,0.2638888888888889,0.21951219512195122,0.7804878048780488,41.0,0.0
70,misconceptions,0.24186723097300983,0.040460304566083294,0.04807654466745365,0.24948347107438018,0.6604554865424431,0.6335403726708074,0.5227272727272727,0.5909090909090909,44.0,0.06818181818181823
71,misconceptions_russian,0.29269674163475656,0.04269674163475656,0.0,0.25,0.5,0.56,0.5,0.5,10.0,0.0
72,mnist_ascii,0.05591832658366115,0.017977947179867115,0.07280322559323155,0.11074360499702558,0.9615384615384615,0.3852599914052428,0.12682926829268293,0.9219512195121952,205.0,0.04878048780487809
73,moral_permissibility,0.2574037755656932,0.020728196243055025,0.011378053895354984,0.24805363321799317,0.5056669572798604,0.6102877070619007,0.5441176470588235,0.5588235294117647,68.0,0.014705882352941235
74,movie_dialog_same_or_different,0.25699765768040567,0.012328888962625684,0.0039927422875740415,0.24866151100535402,0.5163636363636364,0.509090909090909,0.4634146341463415,0.48292682926829267,205.0,-0.0536585365853659
75,movie_recommendation,0.22138751619143907,0.013793110597033476,0.013505594405594373,0.22109999999999996,0.582089552238806,0.5807327001356852,0.33,0.67,100.0,1.1102230246251565e-16
76,multiemo,0.21894161860689662,0.026095598301807715,0.056924411283524434,0.24977043158861334,0.7254901960784313,0.5927287581699346,0.5151515151515151,0.6616161616161617,198.0,0.14646464646464652
77,navigate,0.10743711450301617,0.015596170819606694,0.15693405631659055,0.24877500000000002,0.9139784946236559,0.48155964224701037,0.465,0.86,200.0,0.32500000000000007
78,nonsense_words_grammar,0.29154412433677734,0.07154412433677731,0.02999999999999997,0.25,0.48,0.56,0.5,0.6,10.0,0.09999999999999998
79,novel_concepts,0.24286503769630827,0.020642815474085946,-8.326672684688674e-17,0.22222222222222224,0.0,0.0,0.3333333333333333,0.6666666666666666,6.0,-1.1102230246251565e-16
80,odd_one_out,0.2569394606120675,0.054978676298341855,0.005651672433679172,0.20761245674740483,0.3833333333333333,0.7166666666666667,0.29411764705882354,0.7058823529411765,17.0,1.1102230246251565e-16
81,parsinlu_qa,0.19493551032316808,0.01880838541555535,0.0005772177455699024,0.17670434265318263,0.4445192566657689,0.48545650417452196,0.22926829268292684,0.7609756097560976,205.0,-0.009756097560975618
82,penguins_in_a_table,0.20067505120376608,0.012976638505353355,0.007857142857142785,0.1955555555555555,0.5227272727272727,0.6704545454545454,0.26666666666666666,0.7333333333333333,30.0,-1.1102230246251565e-16
83,persian_idioms,0.16358647919754787,0.0558941715052402,0.022485207100591764,0.13017751479289943,0.5,0.8181818181818181,0.15384615384615385,0.8461538461538461,13.0,0.0
84,phrase_relatedness,0.2930966222237075,0.07309662222370747,0.027499999999999913,0.24749999999999997,0.505050505050505,0.7676767676767678,0.55,0.55,20.0,0.0
85,physical_intuition,0.25235490206337885,0.0773549020633788,0.039843749999999956,0.21484375,0.6363636363636364,0.9272727272727272,0.6875,0.5625,16.0,-0.125
86,physics,0.22157712628465576,0.01245614329788819,0.01063327032136091,0.21975425330812848,0.5333333333333334,0.6817204301075268,0.32608695652173914,0.6739130434782609,46.0,0.0
87,play_dialog_same_or_different,0.24441918810259755,0.01084398700528888,0.009137469931840614,0.24271267102914929,0.4894117647058823,0.4936274509803921,0.5853658536585366,0.5853658536585366,205.0,0.0
88,presuppositions_as_nli,0.2310144616198433,0.012817538145619256,0.00624659542993633,0.22444351890416037,0.50659793814433,0.48494845360824745,0.3401360544217687,0.6462585034013606,147.0,-0.013605442176870763
89,question_selection,0.23851273621375457,0.008273524206248717,0.01161682606507003,0.24185603807257589,0.594844549390004,0.6233766233766234,0.4097560975609756,0.5902439024390244,205.0,-1.1102230246251565e-16
90,real_or_fake_text,0.13222197763279706,0.002559238496830374,0.0018940157974116356,0.13155675493337832,0.5108974358974359,0.5182692307692307,0.15584415584415584,0.8441558441558441,154.0,0.0
91,reasoning_about_colored_objects,0.2059690214729373,0.015242593429435985,0.048274166840496346,0.23900059488399766,0.7326762246117086,0.7185384309040223,0.3951219512195122,0.6829268292682927,205.0,0.07804878048780495
92,riddle_sense,0.25187457836438787,0.08044600693581644,0.06857142857142862,0.24000000000000005,0.5,0.6666666666666667,0.4,0.6,10.0,0.0
93,ruin_names,0.23971757783607528,0.008075161610325676,0.008357583774250416,0.24000000000000002,0.536008230452675,0.5390946502057613,0.4,0.6,90.0,0.0
94,salient_translation_error_detection,0.1987425865969373,0.014092388968478753,0.014724802371541473,0.19937500000000002,0.6172413793103448,0.5260188087774295,0.275,0.725,200.0,0.0
95,sentence_ambiguity,0.26694227311603447,0.12408513025889159,0.07936507936507933,0.2222222222222222,0.625,0.4375,0.6666666666666666,0.4166666666666667,12.0,-0.24999999999999994
96,similarities_abstraction,0.3395278696247458,0.11928977438665042,0.0019841269841268383,0.2222222222222222,0.38,0.9400000000000001,0.6666666666666666,0.4666666666666667,15.0,-0.19999999999999996
97,simple_ethical_questions,0.15777801747626857,0.01802646468123756,0.003915743991358356,0.14366729678638937,0.3421052631578947,0.47368421052631576,0.17391304347826086,0.8260869565217391,23.0,0.0
98,snarks,0.26761208378298723,0.04886208378298715,0.02430555555555547,0.24305555555555555,0.580952380952381,0.37142857142857144,0.4166666666666667,0.6111111111111112,36.0,0.0277777777777779
99,social_iqa,0.24587904035807906,0.024029636462920695,0.010155355176822617,0.23200475907198098,0.5432820512820513,0.48020512820512834,0.36585365853658536,0.6048780487804878,205.0,-0.029268292682926855
100,social_support,0.13368234724720462,0.014128272983476686,0.01240185719908532,0.13195593146281326,0.6537369914853359,0.43117313150425735,0.1564245810055866,0.8435754189944135,179.0,1.1102230246251565e-16
101,sports_understanding,0.25194767677613467,0.0061102856255224325,0.004001563730987451,0.24983895488159968,0.49876237623762376,0.4104785478547855,0.5126903553299492,0.5126903553299492,197.0,0.0
102,strange_stories,0.25225651098888496,0.028446987179361144,0.021746031746031735,0.24555555555555555,0.5565610859728507,0.6651583710407241,0.43333333333333335,0.5333333333333333,30.0,-0.033333333333333326
103,strategyqa,0.26958003929965874,0.03473452742518482,0.009437652908393462,0.24428316478286738,0.5539645431521527,0.6222481979349309,0.5756097560975609,0.5853658536585366,205.0,0.009756097560975618
104,suicide_risk,0.14649270566568307,0.14649270566568307,0.0,0.0,,,0.0,1.0,8.0,0.0
105,swahili_english_proverbs,0.21245426318261273,0.015597356648286737,0.009178473278369126,0.20603537981269512,0.41414141414141414,0.4848484848484848,0.2903225806451613,0.7096774193548387,31.0,0.0
106,swedish_to_german_proverbs,0.26317111894758244,0.03301238878885182,0.019841269841269382,0.25,0.4285714285714286,0.4489795918367347,0.5,0.5,14.0,0.0
107,symbol_interpretation,0.16294741824800743,0.006589111600683456,0.0018143287980387224,0.1581726354453627,0.45008869537171425,0.49556523141428804,0.19696969696969696,0.803030303030303,198.0,0.0
108,temporal_sequences,0.1904966824838521,0.0016468087547706067,0.0011251262709184862,0.18997499999999998,0.4769048559020923,0.5575733649164364,0.255,0.745,200.0,0.0
109,timedial,0.2496678650194105,0.014424138556171778,0.009753299116773168,0.24499702558001188,0.5547785547785548,0.570027195027195,0.4292682926829268,0.5658536585365853,205.0,-0.00487804878048792
110,tracking_shuffled_objects,0.15147239022658712,0.007431293855480553,0.006964257584872013,0.15100535395597858,0.5776867317995588,0.5174913331232273,0.18536585365853658,0.8146341463414634,205.0,-1.1102230246251565e-16
111,understanding_fables,0.1828084732731469,0.019321631167883713,0.01726108033240989,0.18074792243767307,0.582375478927203,0.26436781609195403,0.23684210526315788,0.7631578947368421,38.0,0.0
112,undo_permutation,0.1668053434451604,0.030712812787412197,0.10390746934225187,0.24000000000000007,0.8078703703703703,0.7129629629629629,0.6,0.7666666666666667,60.0,0.16666666666666674
113,unit_conversion,0.19587180182433112,0.021321036891164658,0.06934571944183354,0.243896484375,0.7715215215215215,0.799049049049049,0.578125,0.75,128.0,0.171875
114,unit_interpretation,0.1621911967239093,0.01719119672390923,0.014999999999999986,0.16000000000000006,0.5625,0.609375,0.2,0.8,20.0,0.0
115,vitaminc_fact_verification,0.09998040997702273,0.013135408993166661,0.01276237557771441,0.09960737656157048,0.7111801242236024,0.5009555661729574,0.11219512195121951,0.8878048780487805,205.0,0.0
116,what_is_the_tao,0.2185113659710278,0.051844699304361086,0.037414965986394544,0.20408163265306126,0.6,0.9,0.2857142857142857,0.5714285714285714,7.0,-0.1428571428571429
117,which_wiki_edit,0.22722155112378425,0.008934400224729716,0.0009341479621335358,0.21922129886118807,0.414004914004914,0.528957528957529,0.32456140350877194,0.6754385964912281,114.0,0.0
118,winowhy,0.13708527328247716,0.014408706046421416,0.11527703181212987,0.2379535990481856,0.8813,0.6734,0.3902439024390244,0.8195121951219512,205.0,0.20975609756097557
