task,model_name,shots,acc,random_acc,n_targets,rel_acc_improvement,acc_improvement
crass_ai,128b,3,0.22727272727272727,0.25,4.0,-0.030303030303030314,-0.022727272727272735
tracking_shuffled_objects,128b,3,0.22678396871945258,0.22539682539682535,5.0,0.0017907792894572947,0.0013871433226272378
parsinlu_qa,128b,3,0.2265625,0.25048828125,3.994140625,-0.031921824104234525,-0.02392578125
real_or_fake_text,128b,3,0.22209188660801565,0.1000570218312154,9.995112414467252,0.13560288566851017,0.12203486477680026
odd_one_out,128b,3,0.22093023255813954,0.2062015503875969,4.953488372093023,0.01855468749999999,0.014728682170542629
evaluating_information_essentiality,128b,3,0.22058823529411764,0.19999999999999996,5.0,0.025735294117647106,0.020588235294117685
presuppositions_as_nli,128b,3,0.21904761904761905,0.33333333333333337,3.0,-0.17142857142857149,-0.11428571428571432
salient_translation_error_detection,128b,3,0.21743486973947895,0.16666666666666666,6.0,0.06092184368737475,0.050768203072812296
elementary_math_qa,128b,3,0.21470588235294116,0.19975023342670403,5.018627450980392,0.01868872638386121,0.01495564892623713
persian_idioms,128b,3,0.21212121212121213,0.25,4.0,-0.0505050505050505,-0.03787878787878787
kannada,128b,3,0.2088607594936709,0.2536919831223629,3.9556962025316458,-0.060070671378091925,-0.04483122362869202
minute_mysteries_qa,128b,3,0.20689655172413793,0.24195402298850574,4.167487684729064,-0.046247156937073534,-0.03505747126436781
arithmetic,128b,3,0.203125,0.5741719470046083,3.889616935483871,-0.8713539288794195,-0.3710469470046083
identify_odd_metaphor,128b,3,0.19148936170212766,0.23404255319148928,4.319148936170213,-0.05555555555555545,-0.042553191489361625
analogical_similarity,128b,3,0.17956656346749225,0.1428571428571428,7.0,0.04282765737874103,0.03670942061034946
symbol_interpretation,128b,3,0.17676767676767677,0.20000000000000004,5.0,-0.029040404040404092,-0.02323232323232327
kanji_ascii,128b,3,0.1702127659574468,0.19999999999999998,5.0,-0.037234042553191474,-0.02978723404255318
dyck_languages,128b,3,0.169,0.01190476190476191,84.0,0.1589879518072289,0.1570952380952381
intersect_geometry,128b,3,0.14901960784313725,0.02439024390243903,41.0,0.1277450980392157,0.12462936394069822
social_support,128b,3,0.13935340022296544,0.3333333333333333,3.0,-0.29096989966555176,-0.19397993311036787
vitaminc_fact_verification,128b,3,0.134765625,0.33333333333333326,3.0,-0.29785156249999983,-0.19856770833333326
geometric_shapes,128b,3,0.11977715877437325,0.09817675360850847,10.200557103064067,0.023951927666863233,0.021600405165864783
language_identification,128b,3,0.115234375,0.0909090909090909,11.0,0.026757812500000012,0.024325284090909102
mnist_ascii,128b,3,0.111328125,0.10000000000000002,10.0,0.012586805555555533,0.01132812499999998
discourse_marker_prediction,128b,3,0.10968494749124855,0.10000000000000002,10.0,0.01076105276805392,0.009684947491248527
cifar10_classification,128b,3,0.1005859375,0.10000000000000002,10.0,0.0006510416666666451,0.0005859374999999806
color,128b,3,0.0947265625,0.10000000000000002,10.0,-0.005859375000000022,-0.005273437500000019
checkmate_in_one,128b,3,0.0078125,0.02826020918651915,38.4814453125,-0.021042370992548923,-0.02044770918651915
